	start	bin_add	bin_sub	bin_mul	bin_div	bin_exp	add	sub	mul	div	neg	sqrt	flip	nat_exp	exp	pow	nat_log	log	sin	cos	tan	csc	sec	cot	asin	acos	atan
x	0	1.5	1.5	2	2	0	1.5	1.5	1.5	1.5	1.5	2	2	2	4	2	2	0	2	2	4	4	4	4	0	0	0
bin_add	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_sub	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_mul	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_div	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_exp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
add	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0
sub	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0
mul	1	1	1	1	1	0	1	1	0.5	0.5	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0
div	1	1	1	1	0	0	1	1	0.5	0	1	1	0	0.5	0.5	1	1	0	1	1	1	1	1	1	0	0	0
neg	1	1	1	1	1	0	0.5	0.5	0.75	0.75	0.25	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0
sqrt	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.25	0.5	0.5	0.25	0.5	0.5	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
flip	1	0.5	0.5	0.5	0	0	1	1	1	0	1	0.5	0	0.25	0.125	0.5	0.5	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
nat_exp	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.5	0.5	0.25	0.25	0.25	0	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
exp	1	0.25	0.25	0.25	0.25	0	1	1	1	1	1	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0
pow	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.5	0.5	0.5	0.25	0	0.5	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
nat_log	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.5	0.5	0	0	0.5	0.25	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sin	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.5	0.5	0.5	0.25	0.5	0.5	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0
cos	1	0.5	0.5	0.5	0.5	0	1	1	1	1	1	0.5	0.5	0.5	0.25	0.5	0.5	0	0.5	0.5	0.25	0.25	0.25	0.25	0	0	0
tan	1	0.25	0.25	0.25	0.25	0	1	1	1	1	1	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0
csc	1	0.25	0.25	0.25	0.25	0	1	1	1	1	1	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0
sec	1	0.25	0.25	0.25	0.25	0	1	1	1	1	1	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0
cot	1	0.25	0.25	0.25	0.25	0	1	1	1	1	1	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0
asin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
atan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0